,source_id,scores,ra,dec,l,b,pmra,pmdec,Nyx,GMag,BPMag,RPMag,RUWE
1667,6086104413758334208,0.9271411299705504,197.29274778841733,-47.19926917854104,306.0572071923315,15.564844033806738,-45.96675163991223,0.4399813987521013,0.9576109680637542,12.148171,12.665803,11.472083,1.0410614
1668,5372353833550153600,0.8748748302459717,175.7199289038724,-46.84987647136437,290.92077137338964,14.416747654261256,-35.54568080271232,4.59670479359699,0.9890709132528592,12.95875,13.490515,12.273917,0.950818
1669,6634681448103646592,0.8686862587928772,275.58276765539426,-60.49094719873112,334.25126415477195,-19.956558637750767,3.0508834551503807,-46.88936504793632,0.9876865730777548,12.833251,13.335834,12.169708,0.8339407
1670,6846578989707718912,0.8599526286125183,305.25005251053886,-26.19891625076901,16.98417178271565,-30.36432210429092,69.13467013995243,-72.76417651518979,0.9817859897689613,12.7955265,13.216596,12.206013,1.0854089
1671,2257309402029726080,0.9446645379066468,277.72348472311995,66.8315902935811,96.89619124519255,26.779326267454728,-31.625569016786216,55.54300930624786,0.9696846878554306,12.275309,12.624872,11.754611,1.1840768
1672,6129999293063523072,0.9373250007629396,184.28431100478605,-49.15742179576099,297.1804487663781,13.330900893544078,-140.53413340841075,-23.95302132377266,0.985695887241702,11.799645,12.106534,11.321607,2.6379368
1673,19227022396519808,0.9057111740112304,37.83397907024188,6.66635259909381,162.14924197977223,-48.45040470205209,29.29890112350278,10.20605952469718,0.9640980032056458,10.609422,11.235955,9.849372,1.1679349
1674,475398629939754240,0.9524798393249512,65.01425426459159,62.29906284569009,144.7263993577529,8.620770909409194,72.46473803917209,-58.94638439628393,0.9597859983862096,9.963909,10.728971,9.107027,0.99663365
1675,5031367235927553152,0.8609369397163391,14.742487991788806,-30.559946424623966,277.71043139861774,-86.19271361725347,41.85039882103524,-3.320538006708587,0.984073185009247,12.481673,12.761347,12.045755,0.9403649
1676,321684086873742336,0.9347497820854188,20.03595419495228,37.35008878559797,129.23155006342253,-25.17027909568385,114.1950937780359,-34.78091124194674,0.965826070905919,12.298016,12.650564,11.76873,0.9729869
1677,5838650873736558976,0.9388237595558168,190.0271872872783,-74.21654573707274,302.14642496673486,-11.362076974417365,-27.147549941750626,-14.97879269051231,0.983493962604282,10.636095,11.421953,9.77161,0.9107479
1678,2293068509461347456,0.953657865524292,289.7348634662532,78.15058791654978,109.92055799442728,25.1120568464111,14.601615396690814,31.237790776237524,0.9910383413371172,10.982752,11.382179,10.410104,0.8873471
1679,5001555837862196224,0.8731486201286316,13.416492617578736,-37.47474465684408,300.4723694936262,-79.64286285620864,42.60419381606771,-5.101351560598351,0.981536973620197,10.835636,11.283815,10.214416,2.2275858
1680,3936662780363254784,0.8512938022613525,196.247555170056,16.396658603913046,319.93170479583307,78.81854546107449,-308.1679785049568,-39.09160157301512,0.9732347871327724,11.929993,12.500012,11.213365,1.1469437
1681,467451359897399168,0.9702928066253662,44.4640768449243,63.52296450189584,136.47768447632674,4.026379993123615,124.4813527621125,-39.569929316260506,0.9569310997984892,12.722015,13.150342,12.126806,0.97226226
1682,5424597643941482752,0.985986351966858,144.2193413849552,-44.60572155487419,270.45317658078585,5.652377837926896,-104.22142396102728,77.71054815263801,0.9789141974390944,12.57814,12.500199,11.536566,1.9681191
1683,3623704353343141632,0.8545598387718201,199.78704397383612,-9.685926444226808,314.2147633279956,52.57771610401625,-40.439371895690215,-5.195187420315636,0.9682654240898158,12.978152,13.406723,12.382121,1.1315358
1684,5201291161661450752,0.8662999868392944,168.5622600457069,-76.82781432786206,297.36078764259173,-15.01915370168021,-23.55442096755261,20.829003936358497,0.9675792862636982,12.445885,13.178373,11.603698,1.0226237
1685,629474396926843008,0.8506163954734802,149.95964003785096,21.491402063527637,211.5524108368243,50.68571289485282,-89.3814802274243,-47.09929141022995,0.9770170122404904,12.809056,13.193087,12.254458,1.0129873
1686,2225820694683288064,0.9794080257415771,345.1563991879425,70.10660059124201,113.70933501296108,9.244703780875,308.8408867543494,-27.47215737245953,0.9718280256939776,13.220169,14.153654,12.257978,1.5257106
1687,2400939911634852864,0.8829829096794128,340.0696120680056,-19.988468596174343,39.212408657810855,-59.202209909058446,111.6133608743712,-42.22983172199293,0.9855422392906842,12.257501,12.6172495,11.725415,0.9209269
1688,210027130589809280,0.8551436066627502,88.33192503441278,47.329049670182,164.8068484845797,10.599933877615335,67.90700128320019,-80.6790034225483,0.9713168955507197,11.990511,12.346211,11.465723,1.1541457
1689,532328417150373760,0.9476695656776428,21.01769728538769,69.47934388205023,125.80342113976862,6.789734655731255,77.20076469091833,0.7392191698578834,0.9792518176723938,10.951324,11.489804,10.246905,0.9008217
1690,6502026439659428224,0.8993611931800842,350.0155095156525,-50.39544418604278,333.5714097460698,-60.94719824302334,107.79650829183458,-65.71909498191519,0.9701701351762368,13.018083,13.5535345,12.334575,0.9645161
1691,1057321721646619648,0.91774183511734,169.88745328393117,65.843434445391,136.93898048903176,48.71015515633172,-45.481012730310965,11.500007938516209,0.9895047081535538,9.982079,10.459001,9.340118,0.98996145
1692,1537071149157850880,0.9379626512527466,181.7509713960493,41.6276354809525,152.22009484475257,72.87922062461705,-279.6087362876663,-32.6998355752631,0.9888274373046068,9.112503,9.436447,8.613845,13.6845455
1693,3485183927107450624,0.8581490516662598,172.49735264464474,-26.477631818491204,281.15109771022844,32.926056183551815,-49.066901390900085,-0.7664264896331356,0.9869780932193872,11.286556,11.531623,10.889934,2.220425
1694,6357522196266021248,0.928543508052826,337.2737792865453,-75.71703694402174,313.48014344197185,-38.34923205917951,42.84174697442103,-13.17274943477968,0.9681558121930904,11.000486,11.4951515,10.334056,0.8819439
1695,2699486867950988672,0.8626486659049988,324.10179122560544,5.430438771203815,60.0578526336886,-32.74722892580355,54.29128036675109,-18.650765387896847,0.98458994550439,12.348982,12.7188015,11.8126545,1.0141361
1696,3575309585269335552,0.8958627581596375,180.07260861577325,-11.732527437515904,283.5611121355499,49.205901639647806,-68.40191779808262,-11.958136769743051,0.991893504711532,11.934912,12.423048,11.283093,1.360874
1697,5347706317612026624,0.9592463970184326,167.6571679472694,-52.534691007324206,287.7929718999415,7.348613993396608,-25.90146412130912,-1.979009618160818,0.9790756447593536,12.282057,12.832756,11.574703,0.98442656
